candidate_id,rank,score,reasoning
CAND_0088025,1,1.19421,
CAND_0018499,2,1.1899199999999999,
CAND_0071974,3,1.187805,
CAND_0008425,4,1.18668,
CAND_0079387,5,1.184175,
CAND_0069905,6,1.18278,
CAND_0046064,7,1.1784599999999998,
CAND_0077337,8,1.1779199999999999,
CAND_0041669,9,1.17594,
CAND_0029367,10,1.1677870000000001,
CAND_0050876,11,1.1675799999999998,
CAND_0064326,12,1.14798,
CAND_0055905,13,1.1426,
CAND_0005649,14,1.14,
CAND_0070398,15,1.1346762500000003,
CAND_0009691,16,1.131269375,
CAND_0007009,17,1.1305,
CAND_0037566,18,1.123872,
CAND_0051292,19,1.1232,
CAND_0011687,20,1.1220599999999998,
CAND_0081846,21,1.1188799999999999,
CAND_0086022,22,1.1001599999999998,
CAND_0052682,23,1.0951272500000002,
CAND_0028793,24,1.0838415000000001,
CAND_0068811,25,1.083,
CAND_0009024,26,1.08281125,
CAND_0002025,27,1.0752,
CAND_0074735,28,1.0732590000000002,
CAND_0042506,29,1.06182,
CAND_0041568,30,1.060461,
CAND_0078002,31,1.0594000000000001,
CAND_0041610,32,1.05816,
CAND_0013613,33,1.0580755000000002,
CAND_0007412,34,1.0562486666666668,
CAND_0046525,35,1.0460559999999999,
CAND_0039383,36,1.0452953333333335,
CAND_0065878,37,1.0442486666666666,
CAND_0079064,38,1.0438375,
CAND_0051004,39,1.034576,
CAND_0069638,40,1.029084,
CAND_0083307,41,1.026,
CAND_0000031,42,1.02094125,
CAND_0053695,43,1.0188000000000001,
CAND_0066376,44,1.0175150000000002,
CAND_0058575,45,1.01637,
CAND_0027801,46,1.0138975000000001,
CAND_0075249,47,1.0105701666666669,
CAND_0040887,48,1.0093599999999998,
CAND_0039754,49,1.0077,
CAND_0011432,50,1.0066405,
CAND_0018549,51,0.99342,
CAND_0075574,52,0.9932720000000002,
CAND_0040117,53,0.9760092499999999,
CAND_0098846,54,0.9738000000000001,
CAND_0015578,55,0.9720000000000001,
CAND_0010685,56,0.9701400000000001,
CAND_0027691,57,0.9673522000000001,
CAND_0086151,58,0.9655470000000003,
CAND_0044222,59,0.9645599999999999,
CAND_0096142,60,0.9582375000000002,
CAND_0067866,61,0.9534400000000001,
CAND_0065786,62,0.94954,
CAND_0084819,63,0.9447866666666668,
CAND_0092255,64,0.9447750000000001,
CAND_0010149,65,0.9355000666666667,
CAND_0049896,66,0.9343413333333334,
CAND_0081686,67,0.9325759999999998,
CAND_0017960,68,0.9275680000000001,
CAND_0001610,69,0.9265,
CAND_0091909,70,0.9252900000000001,
CAND_0031593,71,0.9211484000000001,
CAND_0025882,72,0.9205730666666668,
CAND_0080766,73,0.9193524999999999,
CAND_0074225,74,0.9167715000000001,
CAND_0020877,75,0.908999,
CAND_0006557,76,0.90772,
CAND_0053591,77,0.9062399999999999,
CAND_0010257,78,0.9061131000000001,
CAND_0030953,79,0.90579985,
CAND_0015528,80,0.9008875000000001,
CAND_0052328,81,0.8990412500000002,
CAND_0026532,82,0.895254,
CAND_0077285,83,0.8937600000000001,
CAND_0061339,84,0.892816,
CAND_0044855,85,0.88833,
CAND_0044883,86,0.88616,
CAND_0004402,87,0.8804756833333337,
CAND_0095528,88,0.8803971250000002,
CAND_0016163,89,0.8793095000000002,
CAND_0037980,90,0.8791400000000001,
CAND_0088385,91,0.8787594666666667,
CAND_0052335,92,0.8773221333333334,
CAND_0047521,93,0.8760668,
CAND_0069248,94,0.875255416666667,
CAND_0037944,95,0.8747199999999999,
CAND_0057563,96,0.8712,
CAND_0093883,97,0.8645706666666668,
CAND_0005509,98,0.8627040000000001,
CAND_0024466,99,0.861692,
CAND_0054123,100,0.8612762666666667,
